Brand,Processor,OS,RAM,RAM_Type,SSD,Display,Selling_Price,Original_Price,Discount_on_OriginalPrice,Rating
HP,Intel Celeron Dual Core,64 bit Chrome,4,LPDDR4,,14,"23,800","32,295",26,3.9
ASUS,Intel Core 5,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"64,990","89,990",27,4.2
DELL,Intel Core Ultra 5,Windows 11 Home,16,LPDDR5X,512 GB,14,"77,990","98,040",20,4.3
ASUS,Intel Core 5,Windows 11 Home,16,DDR5,512 GB,16,"74,990","88,990",15,
DELL,Intel Core 7,Windows 11,16,DDR5,1 TB,16,"1,19,990","1,51,875",20,4
Primebook,MediaTek MT8183,Android,4,LPDDR4,,11.6,"17,399","17,990",3,4.2
Apple,Apple M3 Max,Mac OS,36,Unified Memory,1 TB,16,"3,30,990","3,49,900",5,
DELL,Intel Core i5,Windows 11,16,DDR5,1 TB,15.6,"78,990","1,01,709",22,4.2
DELL,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,14,"60,990","87,704",30,
Acer,Intel Core i3,Chrome,8,LPDDR5,256 GB,14,"49,999",,,3.9
Apple,Apple M5,Mac OS,16,Unified Memory,512 GB,14,"1,60,990","1,69,900",5,
DELL,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"56,990","64,874",12,4.3
DELL,Intel Core i5,64 bit Windows 11,8,DDR4,512 GB,15.6,"50,490","63,416",20,4.2
Acer,Intel Core i7,Windows 11,16,DDR5,1 TB,16,"1,04,990","1,42,999",26,4.4
HP,AMD Ryzen 3 Quad Core,64 bit Windows 11,8,DDR4,512 GB,15.6,"37,800","60,990",38,4.1
HP,Intel Core i5,Windows 11 Home,16,DDR4,512 GB,15.6,"64,990","69,023",5,
Lenovo,Intel Core i5,Windows 11,8,LPDDR5,512 GB,15.6,"48,990","69,190",29,4.3
ASUS,Intel Core 7,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"76,990","99,990",23,4.2
DELL,Intel Core Ultra 5,Windows 11,16,LPDDR5X,512 GB,14,"90,490","1,02,656",11,4.3
Apple,Apple M3 Max,Mac OS,36,Unified Memory,1 TB,14,"3,02,990","3,19,900",5,
Acer,AMD Ryzen 5,64 bit Windows 11 Home,8,DDR4,512 GB,14,"36,990","52,999",30,3.9
Lenovo,AMD Ryzen 7 Octa Core,Windows 11 Home,24,DDR5,1 TB,15.6,"1,15,990","1,32,590",12,4.3
DELL,Intel Core Ultra 7,Windows 11,16,LPDDR5X,512 GB,14,"1,01,990","1,16,859",12,4.8
Acer,Intel Core i5,Windows 11 Home,16,LPDDR5,512 GB,15.6,"54,990","59,990",8,4.1
HP,Intel Core i5,Windows 11,8,DDR4,512 GB,15.6,"61,490","75,059",18,4.2
DELL,Intel Core i3,64 bit Windows 11,8,DDR5,512 GB,14,"37,990","70,990",46,4.2
Lenovo,AMD Ryzen 7 Octa Core,Windows 11 Home,16,DDR4,512 GB,15.6,"49,990","72,690",31,
ASUS,Intel Core 5,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"64,990","89,990",27,4.2
DELL,Intel Core Ultra 5,Windows 11 Home,16,LPDDR5X,512 GB,14,"77,990","98,040",20,4.3
HP,Intel Core i5,Windows 11,8,DDR4,512 GB,15.6,"54,990","72,718",24,4.3
Apple,Apple M4,Mac OS,24,Unified Memory,1 TB,14,"1,98,990","2,09,900",5,4.7
DELL,Intel Core i5,Windows 11,16,DDR5,1 TB,15.6,"78,990","1,01,709",22,4.2
DELL,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,14,"60,990","87,704",30,
HP,AMD Ryzen 5 Hexa Core,64 bit Windows 11,8,DDR5,512 GB,15.6,"38,999","60,000",35,3.7
ASUS,Intel Core Ultra 5,Windows 11 Home,16,LPDDR5X,512 GB,14,"79,990","1,16,990",31,4.4
Lenovo,Intel Celeron Dual Core,Chrome,8,LPDDR4X,,15.6,"20,990","30,790",31,3.6
Apple,Apple M3 Pro,Mac OS,18,Unified Memory,512 GB,14,"1,89,900",,,4.9
DELL,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"56,990","64,874",12,4.3
DELL,Intel Core i5,64 bit Windows 11,8,DDR4,512 GB,15.6,"50,490","63,416",20,4.2
Lenovo,Intel Core i5,Windows 11,16,LPDDR5,512 GB,15.6,"52,490","76,990",31,4.1
